,Kotor,Comments,Author
885,1,yutuber tergoblok,Yustizar Makarov
886,1,menghibur anjinkkkkkkkk,Madi AN
887,0,ngakak online,risky pras
888,1,family friendly didunia kontolim mantap bang ericko ibur bgt,Gila ng
889,0,sabar bang lim,Black Domino
890,1,lo licik lo jahat lo munafik dasaar anjjjiiiiiiiiiiiiiiiiiiing ibu lo oh pelacur,AN9EL Ck
891,1,untuk hatter banyak kata kontol punyak kontol itulah hatter sangkin kontolnya gk tau lg gue apa bilanginnya hattee sibok kali ngurusin hidup org lain hidup loh urus kontol hidup loh tu gk bagus kali jadi lo yg kontol hatter,yoss ney
892,1,semua you tube punya ciri khas lo torok eh toxic bla bla serah serah loe chanel chanel loe yang nyari uang loe namanya juga hiburan yang penting gak berbau provokator,OPIC Ras Muhammad
893,0,setoxic ericko lim segimana pun tetep aj subscribernya asli anti beli dan gue gak bakal unsubs,Theo Juliano Caesar
894,0,panutan iniii mahhh wkwkkwkwk,Jonathan Catriel
895,0,erick the best yang gk suka sama erick sini gw bantai semua nya anjing sini,JAMI OFFICIAL GAMEMING
896,0,anying opening nya nyolong dari jesnolumutan eeeeeh maksutnya jesnolimit,Jordan TA
897,1,erick the best pokoknya omong apa aja menek kontol ngentot boleh nama nya juga erick kontol wkwkwkw,JAMI OFFICIAL GAMEMING
898,0,jadiin laguu bagus tuh komen wkkwkw,Theodore Matthews
899,1,waduh anjinkkkk gimana nih rick ketauan kalo beli subs wjwkwkkw,Arya Dhuta
900,0,aaaaaaasiaap,Bang syahrul tv
901,1,kontol lu,Ario bagas Bagas
902,1,"love you so much rick gw sbnrnya udh pernah ntn lu sblm yutub masih waktu di facebook teriak kontol 
 terbukti dari konten yutub lo banyakan yg like drpd dislike 
ga usah peduli lah ama haters gaje 
tetep berkarya rick soapers will always love you ",LightFireZ Abraham
903,1,"semangat bang erickosbnrnya udh pernah ntn lu sblm yutub masih waktu di facebook teriak kontol 
 terbukti dari konten yutub lo banyakan yg like drpd dislike 
ga usah peduli lah ama haters gaje 
tetep berkarya rick soapers will always love you ",Ardan maulana
904,1,ngakak anjinggg,Lovi Gamers
905,1,"save kontolodon lezatos jemboetos kratos  ngukuk bangsaub masih waktu di facebook teriak kontol 
 terbukti dari konten yutub lo banyakan yg like drpd dislike 
ga usah peduli lah ama haters gaje 
tetep berkarya rick soapers will always love you ",Cosmic Destruction
906,1,jijik tol l,Wiznu R.
907,1,"ngakak anjinkk tos jemboetos kratos  ngukuk bangsaub masih waktu di facebook teriak kontol 
 terbukti dari konten yutub lo banyakan yg like drpd dislike 
ga usah peduli lah ama haters gaje 
tetep berkarya rick soapers will always love you ",Saeful sutandi
908,0,haters nonton vidio lo banyak view adsense,Nafis
909,0,haters erick blyat,Okumura Rin
910,1,"kan sudah biasa di gituin nah terus kenapa lu malah balik bacot ke heaters  sukak heran gua sama elu rbukti dari konten yutub lo banyakan yg like drpd dislike 
ga usah peduli lah ama haters gaje 
tetep berkarya rick soapers will always love you ",Asbi Pinocii
911,0,channel pendidikan kok dibilang gk ada faedah wkwk d best konten erickolim d,Arrow Official15th
912,1,erick kontol baca lu itu anjing tolol bangsat kontol memek muka lo kek memek asu anjing jahanam kintil hapus channel lu anjing kontol memek kek kntl asu anjing memek memek memek memek,Aries Official
913,0,suci bagai debu v,pahlevi 1823
914,0,ngakak wkwkwk,Dicky Raider
915,1,anjing ngakak gua bang haters kontolangsat kontol memek muka lo kek memek asu anjing jahanam kintil hapus channel lu anjing kontol memek kek kntl asu anjing memek memek memek memek,Reza Ramadhan
916,1,ye vngsat,SaBiL MeCcA
917,0,biasa anaknya yesus udah china bukan asli indo jelek jelekin indo pula,SAM IDI
918,0,just for money,Sahal Ahmad
920,0,siapa sieh yg ngedit naekin gaji rick,Faishal gaming
921,1,bangsat kau mulut anda kotor i rick,Faishal gaming
922,0,gg bang lo jawabnya bikin gw banyak dosa wkwkw,contora contori
923,0,eh ngegas tuh haters,Nathanael Larry
924,0,"lu sok keren 
lu sok ganteng 
lu jangan sok erikont ol sorry gw sensor subscribe lu masih juta aja bangga gw bisa naikin subscribe gw sebanyak itu tinggal screenshoooooooooooooooooot channel gw edit gambar ganti subscribe jadi juta selesai jadi di atas awan masih ada awan gw liat muka lu bikin muntah anjing konten lu murahan gk mendidik dan gk jelas udh gw unscribe anjing lu bangsat",Herdana Ariandika
925,0,emang lu pntez di hate rick lebih rendah dr sampah,Roy MaximuZ
926,1,yah si anjing gw suka lu njing cok babi bikin konten unfeadah aja gw hate komen ini babiiiiiiiiiiiiii gw hate karna lu kaga mau bikin konten unfaedah anjing babi ngetod gw udah langganan tahun lebih lu harus ngasih konten unfaedah buat menuhin gizi toxic anjinggggghg,Fazri
927,0,part bang d asyque liat haters yang cuman bisa komen gajelas d,Megumin MYWAIFU
928,1,di menit ke ngakak njirr,Ai Ai
929,0,gua subscribe lho karena gua tertawa lihat konten lo semangat terus ericko lim wkwkwkw,Pluto Mbouuu
930,0,"hmmmmmmm 
heeeee 
bau memek v

source erick coli m",Excellino Tulangow
931,0,"anda lucu
saya suka 
anda memang kocak dan buat gua ngakak anjirericko lim wkwkwkw",Eka Permadi
932,0,truss upload bang channel yg menghibur,nando 's
933,1,anjing ngakak bangsat wkwkk komen gw termasuk hate comment gak nih uda pake capslock bangsat ngakak anjing,Try Hutama
934,0,sabar aja,Noval lino
935,1,gw suka lu ericko lim kk komen gw termasuk hate comment gak nih uda pake capslock bangsat ngakak anjing,Aisyah Azzahra
936,0,jangan benci erickolim sebelum subscribernya jt v,zero two
937,0,ganteng kokrickolim sebelum subscribernya jt v,Chindy Rs
938,1,anjing lu bangsat lu gak punya pendirian naro gambar mata satu lagi channel ke agamaan apaan,AdzkaGro
939,0,cintai yakult mu minum usus tiap hari,re uploder
940,0,kangen intronya v,ALimit
941,0,"fans yg tertunda adalah pembenaran paling absurd 
apakah setan yg sudah menghasut nabi adam adalah fans nabi adam",Fatih Naday
942,0,ngakak mereka benci tapi ditonton yang bego erick atau yang ngehina njir v,agung sudarwo
943,0,yg sabar yee bang gw belain lu kok,Diandra Syahputra
944,0,apa arti toxic bro erickolim,Eka Sedana
945,1,lu goblok tolol tapi gua suka njir,Eka Risky Darma Utama
946,0,makan pendapatan dari haters duit haram dan semua agama melarang makan duit haram btw gue gak ambil pusing karna spongebob warnanya kuning saya suka warna kuning,Big Dog
947,1,hah haters ohh maksudnya kontol,Meow N3ko
948,1,sopan sekali kamu anjink,Jamal bisyri
949,1,erick itu ganteng anjing ngga usah hina erick kontol,muhocon 22
950,1,lu tolol tapi gw suka njinkkkk,Muhammad Khairuddin
951,0,bang saran gw klo mau toxic sensor aja bang banyak subscriber lu yg kecil kecil,ReyD Animasi
952,0,chanel paling family friendly di duniiiiaaaaaaaaaaa d,Fahreza Rahman
953,1,bang celleng homo di jalan bang,JaGor 12
954,1,memek kok ngilu,Horyzon A.Z.E.D
955,1,kak tetep semangat yaaa walaupun lu di bacotin sama netizen tepi lu kudu kuatt,Anggun Madiun
956,0,kau terbaikk limm battt v,Estu Estu
957,0,"konten mendidik ya suruh sekolah aja tuh orang biar di didik wkwkw
kalo semua youtuber mendidik ntar dapet gelar spd wkwkwkwk
ntar jadi ericko lim spd",Pritil Noob
958,1,erickcokli m gua fans loe anjink sinih main semarang gua sambut dengan buah durian manteb,Dedi Nurdiyansyah
959,1,dengerin tuh kalo ngga suka ngga usah nonton anjing hahahahaah,Anggit Monk'qei
960,1,ngakak nonton vidio ini anjg kwkwjw,Bang rey
961,0,weka haters mah gk guna bang bisa nya ngatain doang tapi gk bisa berkaryav,HOAX Gaming
962,0,bang eric hanya dengan toxic bisa dapet jt sub dan fans yg tertunda v,widya retno
963,0,toxic itu kata mutiara,Sc4VaNgeR Prince
964,1,memekz,jff SQUAD
965,0,ahahahah haters tapi lo nonton video ericko lim siapa yang lebih menguntungkan wahahah makin banyak haters makin banyak viewers iyakan,Sc4VaNgeR Prince
966,1,yang komen pada bego bilang cennel ini gak mendidik plies jadi orng yg pintar dikit kalo kalian pengen konten yg mendidik nonton berita aja sana cari konten yg memng mndidik tonton tuh pak mario teguh berita yang lain gampng kan ini mau broo masa masih bego aja,just lock
967,1,ditunggu video keduanya bang terusin konten ini bangies jadi orng yg pintar dikit kalo kalian pengen konten yg mendidik nonton berita aja sana cari konten yg memng mndidik tonton tuh pak mario teguh berita yang lain gampng kan ini mau broo masa masih bego aja,Wkwk FOOTBALL
968,0,always sad,Alfun fatihah
969,0,gw islam slma ini gw g trsinggung dgn bg erick banyak yg bilang ericko lim g pantes ngomong kek gitu lu yang g pantes idup udh jls cara ngomongnya bg erick kek gitu dr gestur ny dasar fans tertunda,kochenk tidur
970,0,tanpa haters gk bkl sukses bang,Wow Film Kartun
971,1,mantab akmj gud lah rik langsung revenge hateres wowkwkwk terbalaskan gud ea bujank,Reihatsu Official
972,1,wahhh ketawa lemes aku cok,Angga Adi pratama
973,0,semangat bang,ibnu naruto
974,1,katanya berhenti toxic tapi lu ngomong kasar nipu lu kontol,July 35H25Nok
975,0,asbi pinocii hai nak,Kiano Pratama
976,0,halo,Kiano Pratama
977,0,halo,Kiano Pratama
978,0,halo,Kiano Pratama
979,1,lu nulis apa apa dia bakal baca komen lu rasis amat jd org sehat jelas g karena cuma tau kata anjing memek kntl jahanam asu bangsat memang haters itu g punya otak,Kiano Pratama
980,1,kiano pratama gw hanya bilang iyain aja asis amat jd org sehat jelas g karena cuma tau kata anjing memek kntl jahanam asu bangsat memang haters itu g punya otak,Faishal gaming
981,1,lha lu jg kotor bego lah sama lu paling jg dijawab lu siapa ngatur gw,Kiano Pratama
982,0,yaudah dia jg g mau punya subscribber bego kaya lu pindah aj ke deddy corbuzier sana biar tambah pinter dikit,Kiano Pratama
983,0,bener sih lu bocah,Kiano Pratama
984,1,bacot bocah,Motor Berserak
985,0,kasar nipu hmmm,YoTa Gaming
986,0,bikin part nya lu bacain hate koment tapi lu jawabnya santai ga ngegas kuys gas wkwkwk,Firman Daniel
987,0,koment haters di jadiin lagu bro,Dan Pureside
988,1,wkwkwkwk ngakak anjeng,Lutfi Alvi
989,1,santai ajak eric gua suka konten konten loo ngakak anjirr wkwkw salam kalbar,Shark
990,1,kalo gk jahat bukan haters tolol,DAFFA ADAM
991,1,main pb lagi dong anjing bosen gw bangsat liat kek gini terozz,Li-oN For Gaming
992,0,yg hate komen gda yg ngeh klo dia lakuin itu cm buat ngehibur dan buat lakuin apa yg mau dia lakuin walupun emg gila dan aga beda dr yg lain wkwkwk gua nonton seru ajasi,Diana Kaysa
993,0,salam toxic v,Alfan Art
994,0,pinter lu rick  trik youtuber paling jossu cm buat ngehibur dan buat lakuin apa yg mau dia lakuin walupun emg gila dan aga beda dr yg lain wkwkwk gua nonton seru ajasi,Ricky Kkk
995,1,yg pertama kerad,Watashi wa Rizky desu
996,0,haters nya klo ngehina gak ngacaling jossu cm buat ngehibur dan buat lakuin apa yg mau dia lakuin walupun emg gila dan aga beda dr yg lain wkwkwk gua nonton seru ajasi,tea wae
997,1,orang mending omongan nya bangsat kaya elo anjing biasa nya jujur wkwk,Reza Suteja
998,1,bacoot kontoool,Zhask MobiLe
999,0,dasar yg komen jahat kaum pantat tipis upgrade pantat sana,Fajar Azie
1000,0,semangat terus saja hatter emang gitu,Haikal EZ
